Provinsi;Pencemaran Air;;;Pencemaran Tanah;;;Pencemaran Udara;;;Tidak Ada Pencemaran;;;
;2014;2018;2021;2014;2018;2021;2014;2018;2021;2014;2018;2021;
ACEH;350;729;350;63;52;23;713;642;481;5499;5267;5757;
SUMATERA UTARA;449;1205;673;65;371;72;2076;806;339;3800;4306;5227;
SUMATERA BARAT;144;319;193;19;50;21;674;160;60;421;865;1069;
RIAU;318;454;250;17;32;9;1537;248;148;262;1255;1517;
JAMBI;384;614;390;24;30;16;379;153;37;891;891;1152;
SUMATERA SELATAN;279;673;440;44;48;73;218;305;229;2801;2426;2709;
BENGKULU;189;286;163;9;7;8;98;136;71;1270;1139;1307;
LAMPUNG;222;572;308;17;27;23;248;270;210;2237;1915;2217;
KEP. BANGKA BELITUNG;152;159;100;55;47;26;33;49;35;208;212;263;
KEP. RIAU;28;55;16;4;2;4;51;38;22;339;335;392;
DKI JAKARTA;54;126;78;2;10;10;17;42;42;200;138;173;
JAWA BARAT;1131;1890;1217;118;144;129;833;869;556;4327;3723;4497;
JAWA TENGAH;932;1900;1310;183;380;224;1123;1336;781;6823;5888;6783;
DI YOGYAKARTA;44;99;76;4;19;8;415;75;41;21;288;341;
JAWA TIMUR;759;1643;1152;104;184;154;1589;1174;777;6450;6168;6932;
BANTEN;251;513;257;43;51;40;239;326;197;1141;888;1201;
BALI;82;130;82;5;12;5;55;136;15;595;496;621;
NUSA TENGGARA BARAT;122;282;152;27;40;18;79;97;79;940;813;954;
NUSA TENGGARA TIMUR;53;122;79;14;30;35;89;147;199;3145;3103;3175;
KALIMANTAN BARAT;717;915;715;100;136;121;217;370;155;1264;1082;1370;
KALIMANTAN TENGAH;523;782;610;51;110;125;167;161;91;970;743;926;
KALIMANTAN SELATAN;445;714;396;60;66;39;220;175;140;1440;1216;1529;
KALIMANTAN TIMUR;249;318;227;45;42;26;131;123;89;720;669;777;
KALIMANTAN UTARA;59;139;99;4;25;31;27;61;47;410;324;374;
SULAWESI UTARA;140;327;161;12;62;27;116;163;85;1609;1406;1632;
SULAWESI TENGAH;125;303;126;21;26;25;57;93;60;1812;1657;1853;
SULAWESI SELATAN;176;400;308;25;51;39;233;265;229;2667;2475;2580;
SULAWESI TENGGARA;73;227;140;29;31;23;113;153;162;2095;2007;2052;
GORONTALO;72;111;62;64;9;7;41;52;27;585;581;652;
SULAWESI BARAT;22;115;98;6;11;10;43;63;46;585;487;521;
MALUKU;57;105;53;13;20;5;26;32;25;1006;1115;1170;
MALUKU UTARA;46;216;71;15;31;15;67;89;63;1079;927;1071;
PAPUA BARAT;31;155;39;8;7;13;26;37;16;1512;1809;1928;
PAPUA;108;249;292;31;37;95;48;36;90;4717;5277;5244;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
